URL_ID,Turnout_Percentage,liczba_uprawnionych,liczba_kart_wydanych_lacznie,liczba_glosow_waznych_na_kandydatow
1473807,77.78698715292167,2413.0,1877.0,1863.0
1473840,8.823529411764707,34.0,3.0,3.0
1473843,90.0,20.0,18.0,18.0
1474083,14.634146341463412,82.0,12.0,12.0
1474349,19.672131147540984,61.0,12.0,12.0
1474500,12.195121951219512,82.0,10.0,10.0
1474539,100.0,52.0,52.0,52.0
1474540,100.0,44.0,44.0,42.0
1474569,19.51219512195122,41.0,8.0,7.0
1474641,17.94871794871795,78.0,14.0,14.0
1474661,77.49263777871266,2377.0,1842.0,1831.0
1474749,78.6783042394015,2406.0,1893.0,1882.0
1474845,100.0,27.0,27.0,26.0
1474850,34.285714285714285,35.0,12.0,11.0
1474900,27.3972602739726,73.0,20.0,19.0
1474909,20.33898305084746,59.0,12.0,11.0
1475030,22.448979591836736,98.0,22.0,22.0
1475040,97.2972972972973,37.0,36.0,30.0
1475104,100.0,42.0,42.0,40.0
1475180,24.210526315789476,95.0,23.0,23.0
1475353,26.08695652173913,92.0,24.0,21.0
1475354,24.615384615384617,65.0,16.0,16.0
1475355,77.80032467532467,2464.0,1917.0,1890.0
1475370,77.41935483870968,2573.0,1992.0,1967.0
1475377,74.42414614773631,2518.0,1874.0,1862.0
1475407,15.151515151515152,33.0,5.0,5.0
1475420,90.0,30.0,27.0,27.0
1475437,23.809523809523807,63.0,15.0,14.0
1475514,100.0,18.0,18.0,15.0
1475540,33.33333333333333,30.0,10.0,9.0
1475552,28.57142857142857,63.0,18.0,17.0
1475601,25.0,56.0,14.0,13.0
1475695,17.28395061728395,81.0,14.0,11.0
1475696,23.52941176470588,34.0,8.0,8.0
1475725,29.629629629629623,27.0,8.0,7.0
1475831,25.86206896551724,58.0,15.0,15.0
1475926,14.893617021276595,47.0,7.0,7.0
1476122,100.0,15.0,15.0,15.0
1476163,73.6451048951049,2288.0,1685.0,1661.0
1476177,8.333333333333332,12.0,1.0,1.0
1476234,27.77777777777778,36.0,10.0,10.0
1476236,74.7329498767461,2434.0,1819.0,1798.0
1476237,80.37422037422037,2405.0,1933.0,1912.0
1476238,73.37870296236989,2498.0,1833.0,1817.0
1476239,74.45146894756415,2689.0,2002.0,1987.0
1476240,72.07023274806043,2449.0,1765.0,1754.0
1476243,84.08463661453543,2174.0,1828.0,1806.0
1476244,84.49053201082056,2218.0,1874.0,1864.0
1476296,82.93236495687698,2203.0,1827.0,1812.0
1476348,81.24310408238323,2719.0,2209.0,2189.0
1476352,81.34073441502989,2342.0,1905.0,1896.0
1476354,75.56420233463035,2570.0,1942.0,1919.0
1476357,78.03398058252428,2472.0,1929.0,1909.0
1476361,72.82746926663842,2359.0,1718.0,1702.0
1476367,80.08,2500.0,2002.0,1986.0
1476368,75.34562211981567,2604.0,1962.0,1933.0
1476369,81.47668393782384,2316.0,1887.0,1864.0
1476370,79.98395507420778,2493.0,1994.0,1971.0
1476372,83.16654753395282,2798.0,2327.0,2303.0
1476373,81.3588110403397,2355.0,1916.0,1896.0
1476375,81.37992038920831,2261.0,1840.0,1829.0
1476378,82.85132382892057,2455.0,2034.0,2021.0
1476379,75.39208364451083,2678.0,2019.0,2008.0
1476404,76.46610814927647,2626.0,2008.0,1979.0
1476407,63.1083844580777,2445.0,1543.0,1522.0
1476413,76.34180790960453,2832.0,2162.0,2132.0
1476449,73.10887625710538,2287.0,1672.0,1657.0
1476455,80.11516314779271,2605.0,2087.0,2069.0
1476456,74.90196078431373,2805.0,2101.0,2081.0
1476457,79.17570498915401,2766.0,2190.0,2170.0
1476459,73.98508699254349,2414.0,1786.0,1769.0
1476464,83.4045860862806,2573.0,2146.0,2130.0
1476472,73.67070040337367,2727.0,2009.0,1986.0
1476489,79.34093789607097,2367.0,1878.0,1858.0
1476493,74.69418960244649,2616.0,1954.0,1929.0
1476499,61.38175376439327,2258.0,1386.0,1365.0
1476510,79.03897086643966,2643.0,2089.0,2060.0
1476512,86.54485049833886,2408.0,2084.0,2064.0
1476525,77.29601891998423,2537.0,1961.0,1944.0
1476527,78.27715355805243,2670.0,2090.0,2064.0
1476528,78.53107344632768,2478.0,1946.0,1928.0
1476538,78.19246249542627,2733.0,2137.0,2118.0
1476539,84.37847866419294,2695.0,2274.0,2258.0
1476542,85.23274478330659,3115.0,2655.0,2621.0
1476543,82.78972935461485,2882.0,2386.0,2363.0
