URL_ID,Turnout_Percentage,liczba_uprawnionych,liczba_kart_wydanych_lacznie,liczba_glosow_waznych_na_kandydatow,liczba_kart_niewykorzystanych,liczba_kart_niewaznych,liczba_glosow_niewaznych
1467408,66.11785095320624,1154.0,763.0,763.0,406.0,0.0,0.0
1467417,31.666666666666664,300.0,95.0,94.0,296.0,0.0,1.0
1467418,52.17391304347826,46.0,24.0,24.0,25.0,0.0,0.0
1467425,61.57635467980296,406.0,250.0,246.0,147.0,1.0,3.0
1467459,19.17808219178082,73.0,14.0,13.0,65.0,0.0,1.0
1467556,66.66666666666666,1194.0,796.0,785.0,375.0,3.0,8.0
1467584,68.33611574846967,1797.0,1228.0,1226.0,594.0,0.0,2.0
1467604,28.27868852459016,244.0,69.0,69.0,279.0,0.0,0.0
1467627,63.601532567049816,1566.0,996.0,992.0,625.0,1.0,3.0
1467632,71.32867132867133,1716.0,1224.0,1221.0,600.0,0.0,3.0
1467662,73.20197044334975,2030.0,1486.0,1474.0,553.0,1.0,11.0
1467688,18.91891891891892,74.0,14.0,13.0,62.0,0.0,1.0
1467710,78.2833505687694,967.0,757.0,757.0,248.0,0.0,0.0
1467712,70.45769764216367,721.0,508.0,505.0,471.0,0.0,3.0
1467771,63.18407960199005,1608.0,1016.0,1011.0,579.0,1.0,5.0
1467772,59.68617984308992,1657.0,989.0,986.0,738.0,0.0,3.0
1467792,51.85185185185185,27.0,14.0,14.0,13.0,0.0,0.0
1467812,100.0,1054.0,1054.0,1041.0,208.0,0.0,13.0
1467831,82.05574912891987,574.0,471.0,457.0,102.0,0.0,14.0
1467844,59.820010587612494,1889.0,1130.0,1121.0,829.0,0.0,8.0
1467846,58.08823529411765,1088.0,632.0,616.0,472.0,0.0,16.0
1467854,19.101123595505616,89.0,17.0,17.0,73.0,0.0,0.0
1467877,77.77777777777779,27.0,21.0,21.0,7.0,0.0,0.0
1467878,46.66666666666666,30.0,14.0,14.0,18.0,0.0,0.0
1467966,14.285714285714285,56.0,8.0,8.0,72.0,0.0,0.0
1468000,60.0,35.0,21.0,21.0,30.0,0.0,0.0
1468041,100.0,14.0,14.0,13.0,21.0,0.0,1.0
1468079,60.85657370517929,1004.0,611.0,588.0,371.0,1.0,22.0
1468095,76.68957617411226,1746.0,1339.0,1335.0,748.0,0.0,4.0
1468121,100.0,33.0,33.0,31.0,17.0,0.0,2.0
1468175,100.0,18.0,18.0,18.0,89.0,0.0,0.0
1468215,44.18604651162791,43.0,19.0,19.0,24.0,0.0,0.0
1468220,65.47788873038516,2103.0,1377.0,1374.0,680.0,0.0,3.0
1468226,69.67509025270758,2493.0,1737.0,1725.0,733.0,0.0,12.0
1468276,68.6146095717884,1985.0,1362.0,1352.0,639.0,2.0,8.0
1468378,72.04161248374513,1538.0,1108.0,1100.0,435.0,3.0,4.0
1468418,64.46961894953655,971.0,626.0,614.0,378.0,1.0,11.0
1468420,64.49332285938726,1273.0,821.0,817.0,455.0,1.0,4.0
1468478,62.13921901528013,589.0,366.0,362.0,198.0,1.0,3.0
1468517,84.67741935483872,2232.0,1890.0,1881.0,121.0,0.0,9.0
1468573,62.44700181708056,1651.0,1031.0,1019.0,628.0,3.0,9.0
1468596,14.814814814814811,108.0,16.0,16.0,104.0,0.0,0.0
1468692,71.42857142857143,91.0,65.0,58.0,25.0,0.0,7.0
1468716,20.0,40.0,8.0,8.0,33.0,0.0,0.0
1468717,20.588235294117645,34.0,7.0,7.0,37.0,0.0,0.0
1468732,78.1867145421903,1114.0,871.0,860.0,217.0,2.0,9.0
1468761,63.95348837209303,258.0,165.0,164.0,91.0,1.0,0.0
1468762,74.28571428571429,350.0,260.0,257.0,73.0,1.0,2.0
1468802,57.89473684210527,19.0,11.0,11.0,11.0,0.0,0.0
1468810,56.35135135135136,740.0,417.0,406.0,328.0,1.0,10.0
1468875,62.40963855421688,415.0,259.0,257.0,168.0,1.0,2.0
1468876,70.29288702928869,2390.0,1680.0,1656.0,664.0,0.0,24.0
1468878,70.28650646950092,2164.0,1521.0,1515.0,610.0,0.0,6.0
1468892,13.23529411764706,68.0,9.0,8.0,46.0,0.0,1.0
1468893,32.55813953488372,258.0,84.0,80.0,333.0,0.0,4.0
1468894,100.0,12.0,12.0,12.0,10.0,0.0,0.0
1468895,95.23809523809524,21.0,20.0,20.0,19.0,0.0,0.0
1468899,80.58419243986255,2910.0,2345.0,2320.0,234.0,0.0,25.0
1468902,87.09677419354838,2790.0,2430.0,2415.0,135.0,0.0,15.0
1468914,84.32574430823118,2284.0,1926.0,1898.0,233.0,1.0,27.0
1468923,87.68060836501901,1315.0,1153.0,1145.0,121.0,1.0,7.0
1468934,100.0,16.0,16.0,16.0,15.0,0.0,0.0
1468969,87.5625,1600.0,1401.0,1399.0,115.0,0.0,2.0
1469051,60.64516129032258,775.0,470.0,457.0,309.0,0.0,13.0
1469079,71.42857142857143,14.0,10.0,9.0,7.0,0.0,1.0
1469085,55.50755939524839,1389.0,771.0,759.0,695.0,0.0,12.0
1469105,75.0,24.0,18.0,18.0,12.0,0.0,0.0
1469231,58.88501742160279,1722.0,1014.0,1001.0,762.0,0.0,13.0
1469298,21.923076923076923,520.0,114.0,113.0,406.0,0.0,1.0
1469315,46.40792733278282,1211.0,562.0,558.0,663.0,0.0,4.0
1469319,71.62576687116564,1304.0,934.0,934.0,361.0,0.0,0.0
1469322,81.66901078293483,2133.0,1742.0,1734.0,390.0,0.0,7.0
1469330,72.35772357723577,1353.0,979.0,969.0,377.0,2.0,6.0
1469351,71.23425692695214,1985.0,1414.0,1396.0,591.0,1.0,17.0
1469378,80.27397260273973,2555.0,2051.0,2025.0,133.0,4.0,22.0
1469387,87.58169934640523,2295.0,2010.0,1996.0,155.0,0.0,13.0
1469396,76.96094519199212,3047.0,2345.0,2315.0,397.0,0.0,30.0
1469406,89.62900505902192,2372.0,2126.0,2094.0,43.0,0.0,32.0
1469419,72.89002557544757,1955.0,1425.0,1410.0,257.0,2.0,12.0
1469421,75.85596221959858,1694.0,1285.0,1262.0,184.0,0.0,23.0
1469426,76.96419027258152,1871.0,1440.0,1418.0,180.0,1.0,21.0
1469436,79.02829028290283,1626.0,1285.0,1264.0,238.0,1.0,20.0
1469437,82.57825370675454,2428.0,2005.0,1980.0,104.0,2.0,18.0
1469443,77.60814249363868,1572.0,1220.0,1203.0,145.0,2.0,15.0
1469457,76.47963105303613,1301.0,995.0,978.0,195.0,3.0,14.0
1469472,76.13991255465335,1601.0,1219.0,1209.0,236.0,2.0,10.0
1469478,76.10294117647058,1904.0,1449.0,1436.0,232.0,2.0,11.0
1469479,74.79564032697547,1468.0,1098.0,1096.0,204.0,2.0,8.0
1469484,84.76549127011297,2921.0,2476.0,2450.0,231.0,0.0,26.0
1469488,100.0,1395.0,1395.0,1382.0,319.0,0.0,13.0
1469503,84.33390508862207,1749.0,1475.0,1448.0,269.0,0.0,27.0
1469504,82.26086956521739,2300.0,1892.0,1865.0,278.0,1.0,25.0
1469505,86.45476772616138,2045.0,1768.0,1749.0,34.0,0.0,19.0
1469513,86.93312836279785,2602.0,2262.0,2233.0,184.0,1.0,28.0
1469515,86.15384615384616,2210.0,1904.0,1869.0,57.0,1.0,28.0
1469530,77.20739219712526,974.0,752.0,734.0,136.0,0.0,18.0
1469545,80.06872852233677,1455.0,1165.0,1148.0,250.0,4.0,13.0
1469568,83.42105263157895,1900.0,1585.0,1577.0,186.0,1.0,7.0
1469590,81.95899772209567,2195.0,1799.0,1780.0,324.0,2.0,17.0
1469595,84.23326133909286,1852.0,1560.0,1529.0,167.0,0.0,31.0
1469621,80.33737480231945,1897.0,1524.0,1504.0,226.0,2.0,18.0
1469623,78.94406033940918,1591.0,1256.0,1234.0,234.0,2.0,20.0
1469627,82.17960710944809,2138.0,1757.0,1729.0,150.0,0.0,28.0
1469628,78.65168539325843,2492.0,1960.0,1931.0,266.0,0.0,29.0
1469632,80.71965628356605,1862.0,1503.0,1484.0,249.0,2.0,17.0
1469638,87.10204081632654,2450.0,2134.0,2120.0,114.0,0.0,14.0
1469639,80.1610852055956,2359.0,1891.0,1864.0,298.0,1.0,24.0
1469641,87.99328295549958,2382.0,2096.0,2061.0,324.0,0.0,35.0
1469643,87.07158351409979,2305.0,2007.0,1975.0,119.0,0.0,32.0
