URL_ID,Turnout_Percentage,liczba_uprawnionych,liczba_kart_wydanych_lacznie,liczba_glosow_waznych_na_kandydatow,liczba_kart_niewykorzystanych,liczba_kart_niewaznych,liczba_glosow_niewaznych,Sklearn_AE_Reconstruction_Error
1469003,82.0997375328084,1905.0,1564.0,1541.0,152.0,0.0,23.0,0.5386219138788656
1469051,60.64516129032258,775.0,470.0,457.0,309.0,0.0,13.0,0.3582178853998604
1469103,40.0,55.0,22.0,19.0,37.0,0.0,3.0,0.49886668382476135
1469162,31.428571428571427,35.0,11.0,11.0,29.0,0.0,0.0,0.6685845776031856
1469297,29.33333333333333,75.0,22.0,22.0,58.0,0.0,0.0,0.6736010179021333
1469301,86.82170542635659,258.0,224.0,223.0,248.0,0.0,1.0,0.4981667510964249
1469304,26.53061224489796,49.0,13.0,13.0,45.0,0.0,0.0,0.8140019631015785
1469319,71.62576687116564,1304.0,934.0,934.0,361.0,0.0,0.0,0.3551724523025685
1469322,81.66901078293483,2133.0,1742.0,1734.0,390.0,0.0,7.0,0.40786222826628843
1469356,75.2439024390244,1640.0,1234.0,1219.0,105.0,0.0,15.0,0.3157977952517012
1469368,76.08832807570978,1585.0,1206.0,1187.0,117.0,0.0,19.0,0.48110648992140626
1469369,73.95182872435325,1121.0,829.0,813.0,136.0,0.0,16.0,0.3528979508279377
1469378,80.27397260273973,2555.0,2051.0,2025.0,133.0,4.0,22.0,0.6004885551553859
1469387,87.58169934640523,2295.0,2010.0,1996.0,155.0,0.0,13.0,0.4620671310300316
1469394,63.956170703575545,1734.0,1109.0,1091.0,409.0,0.0,18.0,0.2982551746527817
1469396,76.96094519199212,3047.0,2345.0,2315.0,397.0,0.0,30.0,0.7629286938905765
1469397,70.32598274209012,2086.0,1467.0,1446.0,327.0,0.0,21.0,0.4032423462575159
1469404,84.65045592705167,1974.0,1671.0,1648.0,217.0,0.0,22.0,0.3050869049871951
1469406,89.62900505902192,2372.0,2126.0,2094.0,43.0,0.0,32.0,1.433743964466396
1469411,71.78885630498534,1705.0,1224.0,1206.0,258.0,0.0,18.0,0.29828486955880995
1469414,83.22404371584699,1830.0,1523.0,1499.0,219.0,0.0,23.0,0.41831243104449495
1469421,75.85596221959858,1694.0,1285.0,1262.0,184.0,0.0,23.0,0.6990892999084359
1469423,80.04895960832313,1634.0,1308.0,1291.0,95.0,0.0,17.0,0.30913838002493443
1469426,76.96419027258152,1871.0,1440.0,1418.0,180.0,1.0,21.0,0.4493440288507195
1469437,82.57825370675454,2428.0,2005.0,1980.0,104.0,2.0,18.0,0.5655401664698291
1469440,82.57142857142857,2100.0,1734.0,1718.0,153.0,0.0,16.0,0.2952746390122539
1469447,77.42316784869976,1692.0,1310.0,1290.0,208.0,0.0,19.0,0.30444374251604456
1469462,81.1576354679803,2436.0,1977.0,1956.0,197.0,0.0,19.0,0.4365610032225941
1469466,83.28530259365994,2082.0,1734.0,1719.0,130.0,0.0,15.0,0.32126594075767956
1469476,78.29360100376411,1594.0,1248.0,1229.0,153.0,0.0,19.0,0.3677607857483226
1469484,84.76549127011297,2921.0,2476.0,2450.0,231.0,0.0,26.0,0.7444705744201315
1469496,83.82084095063985,2188.0,1834.0,1818.0,148.0,0.0,16.0,0.34176675177774474
1469498,74.37470504955166,2119.0,1576.0,1553.0,468.0,0.0,23.0,0.2955097734468137
1469499,79.41176470588235,2482.0,1971.0,1943.0,249.0,0.0,28.0,0.8294992701757395
1469503,84.33390508862207,1749.0,1475.0,1448.0,269.0,0.0,27.0,0.7552697876233265
1469504,82.26086956521739,2300.0,1892.0,1865.0,278.0,1.0,25.0,0.41447023832411534
1469505,86.45476772616138,2045.0,1768.0,1749.0,34.0,0.0,19.0,0.5072825834626885
1469507,86.97857948139797,1774.0,1543.0,1521.0,110.0,0.0,22.0,0.4181850137286323
1469510,81.65350673478868,2153.0,1758.0,1732.0,303.0,0.0,26.0,0.5169407222813617
1469513,86.93312836279785,2602.0,2262.0,2233.0,184.0,1.0,28.0,0.732187975831449
1469515,86.15384615384616,2210.0,1904.0,1869.0,57.0,1.0,28.0,1.0218555483130183
1469518,86.50042992261393,2326.0,2012.0,1989.0,104.0,0.0,23.0,0.6143125225925475
1469520,82.90488431876607,2334.0,1935.0,1908.0,243.0,0.0,24.0,0.43603792922084317
1469521,82.8780487804878,2050.0,1699.0,1677.0,206.0,0.0,22.0,0.36014047952645944
1469523,78.37320574162679,2090.0,1638.0,1624.0,162.0,0.0,14.0,0.32866824482667273
1469529,73.32071901608326,2114.0,1550.0,1536.0,200.0,0.0,14.0,0.337606267307288
1469530,77.20739219712526,974.0,752.0,734.0,136.0,0.0,18.0,0.5163056900621716
1469534,74.10596026490066,1510.0,1119.0,1101.0,164.0,0.0,18.0,0.3901155677829969
1469536,84.39099283520981,1954.0,1649.0,1623.0,181.0,0.0,25.0,0.5821775864914756
1469538,79.45128779395296,1786.0,1419.0,1398.0,255.0,0.0,21.0,0.32309444453427905
1469540,81.76229508196722,1952.0,1596.0,1571.0,272.0,0.0,25.0,0.5221067960455127
1469549,75.59548683660677,2393.0,1809.0,1786.0,349.0,0.0,23.0,0.3633586289797664
1469560,82.0377358490566,2650.0,2174.0,2153.0,124.0,0.0,21.0,0.8027749238575207
1469568,83.42105263157895,1900.0,1585.0,1577.0,186.0,1.0,7.0,0.3792269177810616
1469569,81.02486047691528,1971.0,1597.0,1589.0,236.0,0.0,8.0,0.3135349125383455
1469570,84.13793103448276,2175.0,1830.0,1811.0,169.0,0.0,18.0,0.29766224609711145
1469581,78.65810135617416,1401.0,1102.0,1083.0,254.0,0.0,20.0,0.3927985567838835
1469588,80.66508313539192,2105.0,1698.0,1673.0,244.0,0.0,25.0,0.5588280668658426
1469595,84.23326133909286,1852.0,1560.0,1529.0,167.0,0.0,31.0,1.3418126350795296
1469626,78.46511627906978,2150.0,1687.0,1663.0,204.0,0.0,24.0,0.6176821510640763
1469627,82.17960710944809,2138.0,1757.0,1729.0,150.0,0.0,28.0,0.9803535322431814
1469628,78.65168539325843,2492.0,1960.0,1931.0,266.0,0.0,29.0,0.9099153189520747
1469634,86.12303290414879,2097.0,1806.0,1784.0,171.0,0.0,22.0,0.3564792530291704
1469638,87.10204081632654,2450.0,2134.0,2120.0,114.0,0.0,14.0,0.6695801751262274
