URL_ID,Turnout_Percentage,liczba_uprawnionych,liczba_kart_wydanych_lacznie,liczba_glosow_waznych_na_kandydatow,liczba_kart_niewykorzystanych,liczba_kart_niewaznych,liczba_glosow_niewaznych
1406232,51.57740278796772,1363.0,703.0,693.0,618.0,0.0,10.0
1406247,63.69426751592356,1099.0,700.0,693.0,197.0,1.0,9.0
1406264,71.4862138533961,1487.0,1063.0,1053.0,341.0,2.0,8.0
1406266,76.07537894305612,2441.0,1857.0,1854.0,230.0,2.0,1.0
1406274,78.73220027560863,2177.0,1714.0,1704.0,295.0,3.0,7.0
1406284,72.3440712816998,2918.0,2111.0,2105.0,581.0,0.0,6.0
1406285,66.87773989283976,2053.0,1373.0,1363.0,413.0,3.0,5.0
1406299,66.42857142857143,1680.0,1116.0,1116.0,364.0,0.0,0.0
1406325,81.5478615071283,2455.0,2002.0,1995.0,103.0,0.0,6.0
1406332,73.42105263157895,1520.0,1116.0,1105.0,220.0,1.0,10.0
1406334,76.31113730111963,1697.0,1295.0,1295.0,254.0,0.0,0.0
1406346,75.4863813229572,1542.0,1164.0,1163.0,254.0,0.0,0.0
1406358,74.95473747736874,1657.0,1242.0,1234.0,319.0,3.0,5.0
1406372,80.87451119800924,2813.0,2275.0,2269.0,269.0,0.0,6.0
1406376,67.37222509034589,1937.0,1305.0,1297.0,404.0,4.0,4.0
1406378,63.888888888888886,1548.0,989.0,989.0,347.0,0.0,0.0
1406384,79.22862453531599,2152.0,1705.0,1700.0,174.0,2.0,3.0
1406387,73.17173377156944,2434.0,1781.0,1775.0,420.0,3.0,3.0
1406393,81.39303482587064,2010.0,1636.0,1629.0,201.0,2.0,5.0
1406401,82.90866326930616,2551.0,2115.0,2100.0,169.0,5.0,4.0
1406403,80.3016453382084,2188.0,1757.0,1753.0,48.0,0.0,3.0
1406404,80.1388147357181,1873.0,1501.0,1501.0,144.0,0.0,0.0
1406406,81.66522864538395,2318.0,1893.0,1888.0,63.0,0.0,5.0
1406407,76.80722891566265,1660.0,1275.0,1263.0,208.0,7.0,5.0
1406410,81.87919463087249,1937.0,1586.0,1578.0,268.0,4.0,4.0
1406418,72.48953974895397,956.0,693.0,693.0,138.0,0.0,0.0
1406430,78.50732168162494,2117.0,1662.0,1655.0,302.0,3.0,4.0
1406437,69.07783417935703,2364.0,1633.0,1625.0,500.0,3.0,5.0
1406445,74.71509971509973,1404.0,1049.0,1040.0,216.0,1.0,10.0
1406447,81.5203955500618,1618.0,1319.0,1307.0,236.0,4.0,8.0
1406448,78.02111849824013,2557.0,1995.0,1987.0,142.0,0.0,8.0
1406461,75.51525144270403,1213.0,916.0,916.0,194.0,0.0,0.0
1406495,78.97595034910783,1289.0,1018.0,1009.0,111.0,0.0,9.0
1406522,82.58258258258259,1998.0,1650.0,1642.0,116.0,3.0,4.0
1406526,82.18415417558886,2335.0,1919.0,1915.0,112.0,0.0,4.0
1406529,85.58008454673556,2129.0,1822.0,1812.0,272.0,6.0,6.0
1406533,84.07196138657305,2279.0,1916.0,1904.0,189.0,0.0,12.0
1406535,100.0,1471.0,1471.0,1466.0,295.0,0.0,4.0
1406542,81.23934053439454,1759.0,1429.0,1421.0,57.0,0.0,8.0
1434263,94.50381679389312,655.0,619.0,593.0,140.0,0.0,26.0
1434265,64.376130198915,553.0,356.0,346.0,259.0,0.0,10.0
1434268,76.94753577106518,629.0,484.0,475.0,310.0,0.0,9.0
1434272,62.903225806451616,186.0,117.0,117.0,348.0,0.0,0.0
1434273,65.76576576576578,222.0,146.0,146.0,464.0,0.0,0.0
1434275,56.52173913043478,92.0,52.0,46.0,49.0,0.0,6.0
1434283,70.58823529411765,17.0,12.0,12.0,11.0,0.0,0.0
1406546,51.70940170940172,936.0,484.0,482.0,441.0,1.0,1.0
1406568,53.79310344827586,1740.0,936.0,931.0,271.0,0.0,5.0
1406570,52.98382598996096,1793.0,950.0,937.0,837.0,0.0,12.0
1406575,43.12553373185312,1171.0,505.0,501.0,638.0,0.0,4.0
1434297,96.42857142857144,28.0,27.0,26.0,1.0,0.0,1.0
1434298,51.61290322580645,31.0,16.0,16.0,14.0,0.0,0.0
1406680,61.64383561643836,438.0,270.0,263.0,154.0,1.0,6.0
1434305,19.587628865979383,97.0,19.0,15.0,76.0,0.0,4.0
1406818,79.36016511867905,969.0,769.0,769.0,145.0,0.0,0.0
1406824,85.21229868228404,683.0,582.0,582.0,71.0,0.0,0.0
1406888,57.6271186440678,1121.0,646.0,645.0,443.0,1.0,0.0
1434316,100.0,430.0,430.0,428.0,107.0,0.0,2.0
1407164,64.94082840236686,676.0,439.0,435.0,234.0,2.0,2.0
1434318,24.034334763948497,233.0,56.0,56.0,330.0,0.0,0.0
1434319,71.21212121212122,66.0,47.0,40.0,19.0,0.0,7.0
1434323,67.9745493107105,943.0,641.0,636.0,745.0,0.0,5.0
1407452,39.03394255874674,766.0,299.0,298.0,450.0,0.0,1.0
1434333,100.0,18.0,18.0,13.0,56.0,0.0,5.0
1407593,43.47826086956522,253.0,110.0,109.0,135.0,1.0,0.0
1407628,72.42295430393199,1882.0,1363.0,1353.0,450.0,2.0,8.0
1407631,60.22099447513812,1086.0,654.0,648.0,401.0,2.0,4.0
1434338,46.089385474860336,358.0,165.0,156.0,319.0,0.0,9.0
1434339,55.26315789473685,38.0,21.0,21.0,19.0,0.0,0.0
1407656,47.98676227247656,1813.0,870.0,867.0,909.0,0.0,3.0
1434342,14.814814814814811,81.0,12.0,9.0,94.0,0.0,3.0
1407716,73.15463917525773,2425.0,1774.0,1760.0,548.0,0.0,14.0
1407861,89.02439024390245,1066.0,949.0,949.0,211.0,0.0,0.0
1436504,20.689655172413797,29.0,6.0,6.0,23.0,0.0,0.0
1407983,66.38888888888889,720.0,478.0,474.0,218.0,2.0,2.0
1434356,29.10798122065728,639.0,186.0,182.0,691.0,0.0,4.0
1434358,35.34743202416919,331.0,117.0,115.0,450.0,0.0,2.0
1434368,98.59154929577466,71.0,70.0,68.0,22.0,0.0,2.0
1434369,10.0,30.0,3.0,3.0,33.0,0.0,0.0
1466766,94.5054945054945,91.0,86.0,85.0,583.0,0.0,1.0
1408226,52.27272727272727,1540.0,805.0,797.0,798.0,0.0,8.0
1408235,47.24818276220145,963.0,455.0,451.0,469.0,1.0,3.0
1434373,54.92424242424242,264.0,145.0,144.0,648.0,0.0,1.0
1434374,64.37847866419295,1078.0,694.0,687.0,623.0,4.0,3.0
1408292,62.491203377902885,1421.0,888.0,882.0,410.0,6.0,0.0
1408300,72.16386554621849,1904.0,1374.0,1368.0,113.0,0.0,6.0
1408305,71.47058823529412,1020.0,729.0,725.0,103.0,4.0,0.0
1408333,77.1545827633379,1462.0,1128.0,1124.0,301.0,4.0,0.0
1408378,76.94704049844236,1926.0,1482.0,1482.0,515.0,0.0,0.0
1434386,92.7710843373494,249.0,231.0,231.0,2316.0,0.0,0.0
1408385,39.83572895277207,974.0,388.0,385.0,575.0,0.0,3.0
1408391,57.821782178217816,1515.0,876.0,876.0,652.0,0.0,0.0
1408397,49.96610169491525,1475.0,737.0,737.0,737.0,0.0,0.0
1408444,34.72750316856781,789.0,274.0,272.0,504.0,0.0,2.0
1434391,73.30357142857142,1120.0,821.0,797.0,639.0,0.0,24.0
1408474,37.82051282051282,156.0,59.0,54.0,61.0,0.0,5.0
1408486,57.67097966728281,1082.0,624.0,619.0,437.0,3.0,1.0
1434397,100.0,98.0,98.0,96.0,112.0,0.0,2.0
1434399,44.56521739130434,92.0,41.0,35.0,53.0,0.0,6.0
1408693,55.69620253164557,553.0,308.0,305.0,242.0,2.0,1.0
1408705,69.19945725915875,737.0,510.0,510.0,720.0,0.0,0.0
1408740,58.66583541147132,1604.0,941.0,930.0,628.0,0.0,11.0
1408794,58.1207218419415,1607.0,934.0,934.0,708.0,0.0,0.0
1434405,100.0,46.0,46.0,44.0,44.0,0.0,2.0
1434409,26.126126126126124,111.0,29.0,24.0,91.0,0.0,5.0
1434412,16.78832116788321,137.0,23.0,23.0,258.0,0.0,0.0
1409040,62.53776435045317,331.0,207.0,204.0,121.0,2.0,1.0
1409113,69.97929606625259,1449.0,1014.0,1011.0,769.0,0.0,3.0
1409243,67.61467889908258,1090.0,737.0,724.0,359.0,2.0,11.0
1409280,70.33426183844011,2154.0,1515.0,1503.0,587.0,3.0,9.0
1434422,86.29032258064517,124.0,107.0,105.0,286.0,0.0,2.0
1434424,76.79324894514767,474.0,364.0,354.0,186.0,0.0,10.0
1434425,0.0,33.0,0.0,0.0,30.0,0.0,0.0
1409617,52.85714285714286,490.0,259.0,258.0,235.0,1.0,0.0
1409662,71.47887323943662,1704.0,1218.0,1211.0,480.0,4.0,1.0
1409671,67.13615023474179,639.0,429.0,422.0,213.0,2.0,5.0
1434430,8.823529411764707,34.0,3.0,2.0,35.0,0.0,1.0
1434431,78.05755395683454,278.0,217.0,217.0,362.0,0.0,0.0
1434432,100.0,137.0,137.0,136.0,46.0,0.0,1.0
1434434,100.0,109.0,109.0,109.0,52.0,0.0,0.0
1434435,100.0,33.0,33.0,33.0,7.0,0.0,0.0
1434436,100.0,114.0,114.0,113.0,80.0,0.0,0.0
1409723,66.42388929351785,1373.0,912.0,910.0,962.0,0.0,2.0
1409735,25.842696629213485,178.0,46.0,40.0,31.0,0.0,6.0
1434437,95.23809523809524,63.0,60.0,58.0,9.0,1.0,1.0
1434441,40.54054054054054,37.0,15.0,15.0,26.0,0.0,0.0
1434442,55.55555555555556,36.0,20.0,20.0,20.0,0.0,0.0
1409904,67.42610837438424,1624.0,1095.0,1081.0,501.0,11.0,3.0
1409958,60.75322101090188,2018.0,1226.0,1222.0,752.0,2.0,2.0
1409994,46.59498207885305,1116.0,520.0,520.0,596.0,0.0,0.0
1410059,60.0,280.0,168.0,166.0,103.0,2.0,0.0
1434450,45.604395604395606,182.0,83.0,76.0,113.0,0.0,7.0
1434452,57.14285714285714,14.0,8.0,8.0,20.0,0.0,0.0
1434453,55.95238095238096,84.0,47.0,41.0,38.0,0.0,6.0
1434455,26.60944206008584,233.0,62.0,62.0,305.0,0.0,0.0
1410188,55.78231292517006,441.0,246.0,238.0,186.0,1.0,7.0
1410218,52.08568207440811,887.0,462.0,455.0,430.0,3.0,2.0
1410276,66.83958499600958,2506.0,1675.0,1669.0,813.0,0.0,6.0
1410286,70.2188940092166,1736.0,1219.0,1216.0,513.0,2.0,1.0
1410289,67.15686274509804,2040.0,1370.0,1370.0,632.0,0.0,0.0
1410324,67.2627235213205,1454.0,978.0,973.0,502.0,4.0,0.0
1434461,28.45360824742268,485.0,138.0,137.0,413.0,0.0,1.0
1410332,70.93287827076223,1758.0,1247.0,1242.0,427.0,3.0,2.0
1410347,63.42281879194631,596.0,378.0,376.0,183.0,2.0,0.0
1410420,79.34621099554235,1346.0,1068.0,1067.0,219.0,1.0,0.0
1410422,73.70617696160268,1198.0,883.0,883.0,430.0,0.0,0.0
1410451,76.1252446183953,1533.0,1167.0,1158.0,292.0,6.0,2.0
1410515,100.0,1493.0,1493.0,1493.0,236.0,0.0,0.0
1436782,17.5,40.0,7.0,7.0,31.0,0.0,0.0
1434472,30.4635761589404,453.0,138.0,136.0,479.0,0.0,2.0
1434474,24.73544973544973,756.0,187.0,185.0,716.0,0.0,2.0
1434478,61.6,125.0,77.0,70.0,59.0,0.0,7.0
1434479,82.85714285714286,35.0,29.0,24.0,11.0,0.0,5.0
1434481,65.61679790026247,762.0,500.0,485.0,534.0,0.0,14.0
1434487,36.84210526315789,19.0,7.0,7.0,15.0,0.0,0.0
1410556,69.56521739130434,805.0,560.0,555.0,228.0,2.0,3.0
1410619,58.30851697438951,1679.0,979.0,973.0,658.0,2.0,4.0
1410623,61.01774042950514,2142.0,1307.0,1296.0,782.0,1.0,10.0
1434492,55.55555555555556,27.0,15.0,15.0,25.0,0.0,0.0
1434494,75.71428571428571,350.0,265.0,254.0,139.0,0.0,11.0
1410709,54.34782608695652,414.0,225.0,219.0,173.0,1.0,5.0
1434496,14.457831325301203,83.0,12.0,11.0,117.0,0.0,1.0
1410752,57.53086419753086,1620.0,932.0,921.0,675.0,0.0,11.0
1410760,52.82121006118287,1471.0,777.0,767.0,659.0,1.0,9.0
1410769,61.586176340274704,2257.0,1390.0,1384.0,831.0,2.0,6.0
1410770,40.38461538461539,52.0,21.0,21.0,19.0,0.0,0.0
1410811,58.48275862068966,1450.0,848.0,836.0,547.0,0.0,12.0
1410912,61.684782608695656,736.0,454.0,451.0,596.0,0.0,2.0
1410964,65.68047337278107,2028.0,1332.0,1323.0,632.0,2.0,9.0
1410969,55.27019796682718,1869.0,1033.0,1023.0,805.0,0.0,11.0
1434508,73.93617021276596,752.0,556.0,542.0,206.0,0.0,14.0
1411066,69.93865030674846,163.0,114.0,112.0,44.0,1.0,1.0
1411081,63.8121546961326,1810.0,1155.0,1141.0,557.0,0.0,14.0
1434511,5.063291139240507,79.0,4.0,4.0,66.0,0.0,0.0
1434512,100.0,49.0,49.0,48.0,26.0,0.0,1.0
1434513,95.0,40.0,38.0,38.0,27.0,0.0,0.0
1411188,50.68719076415613,1819.0,922.0,917.0,864.0,0.0,3.0
1411189,42.85714285714285,889.0,381.0,373.0,501.0,0.0,8.0
1411253,54.25,2000.0,1085.0,1074.0,874.0,0.0,11.0
1411272,69.5758564437194,1226.0,853.0,850.0,343.0,3.0,0.0
1411283,53.80258899676376,1236.0,665.0,665.0,539.0,0.0,0.0
1411286,60.87477531455961,1669.0,1016.0,1016.0,633.0,0.0,0.0
1411304,51.04261106074343,1103.0,563.0,563.0,528.0,0.0,0.0
1434517,35.11111111111111,225.0,79.0,74.0,295.0,0.0,5.0
1434518,51.03092783505154,194.0,99.0,99.0,397.0,0.0,0.0
1434519,65.80645161290323,465.0,306.0,297.0,297.0,0.0,9.0
1411361,66.01769911504425,1130.0,746.0,741.0,355.0,3.0,1.0
1411367,79.24528301886792,1060.0,840.0,840.0,173.0,0.0,0.0
1436685,74.69262295081968,976.0,729.0,725.0,222.0,2.0,2.0
1434528,90.625,32.0,29.0,24.0,32.0,0.0,5.0
1434535,16.94915254237288,59.0,10.0,10.0,63.0,0.0,0.0
1434536,83.11688311688312,77.0,64.0,56.0,67.0,0.0,8.0
1434541,40.54054054054054,37.0,15.0,15.0,25.0,0.0,0.0
1434542,94.73684210526316,38.0,36.0,33.0,4.0,0.0,3.0
1434543,54.08163265306123,784.0,424.0,415.0,468.0,0.0,9.0
1434545,68.42723004694837,852.0,583.0,569.0,373.0,0.0,14.0
1434547,100.0,41.0,41.0,41.0,9.0,0.0,0.0
1434556,29.347826086956523,92.0,27.0,20.0,105.0,0.0,7.0
1411953,59.68234575442884,1637.0,977.0,965.0,589.0,0.0,12.0
1411957,72.10116731517509,2570.0,1853.0,1843.0,676.0,0.0,10.0
1411964,70.75954348681621,2541.0,1798.0,1796.0,669.0,0.0,2.0
1434558,30.959752321981423,323.0,100.0,99.0,400.0,0.0,1.0
1434561,9.090909090909092,33.0,3.0,3.0,17.0,0.0,0.0
1434563,12.280701754385964,57.0,7.0,6.0,49.0,0.0,1.0
1412090,63.53887399463807,1492.0,948.0,936.0,601.0,0.0,12.0
1434565,44.08602150537634,93.0,41.0,34.0,51.0,0.0,7.0
1434566,100.0,19.0,19.0,14.0,3.0,0.0,5.0
1434567,67.44186046511628,43.0,29.0,21.0,21.0,0.0,8.0
1412196,65.15885837372105,1857.0,1210.0,1208.0,641.0,1.0,1.0
1434577,13.414634146341465,82.0,11.0,9.0,68.0,0.0,2.0
1412282,74.0308019118428,1883.0,1394.0,1378.0,474.0,7.0,9.0
1412333,76.21621621621621,1480.0,1128.0,1125.0,293.0,2.0,1.0
1434580,31.136363636363637,440.0,137.0,137.0,343.0,0.0,0.0
1434582,80.3056027164686,589.0,473.0,464.0,266.0,0.0,9.0
1412343,61.02389078498294,1465.0,894.0,888.0,550.0,2.0,4.0
1412350,61.81299072091363,1401.0,866.0,854.0,505.0,0.0,12.0
1434585,18.983957219251337,374.0,71.0,70.0,412.0,0.0,1.0
1434586,44.82758620689656,29.0,13.0,13.0,27.0,0.0,0.0
1412458,63.5725037631711,1993.0,1267.0,1258.0,679.0,1.0,9.0
1412465,60.58690744920994,2215.0,1342.0,1332.0,834.0,2.0,8.0
1434587,54.54545454545454,165.0,90.0,90.0,336.0,0.0,0.0
1434589,50.74626865671642,67.0,34.0,28.0,49.0,0.0,6.0
1434592,10.416666666666668,48.0,5.0,5.0,56.0,0.0,0.0
1434593,73.07692307692307,78.0,57.0,48.0,23.0,0.0,9.0
1412600,65.7286432160804,995.0,654.0,649.0,368.0,4.0,1.0
1434597,8.771929824561402,57.0,5.0,5.0,45.0,0.0,0.0
1434600,56.00000000000001,25.0,14.0,14.0,13.0,0.0,0.0
1434602,44.642857142857146,56.0,25.0,20.0,41.0,0.0,5.0
1434603,15.0,20.0,3.0,3.0,22.0,0.0,0.0
1412747,65.48571428571428,875.0,573.0,570.0,274.0,2.0,3.0
1434609,20.0,35.0,7.0,7.0,34.0,0.0,0.0
1434610,100.0,9.0,9.0,9.0,19.0,0.0,0.0
1412768,68.73983739837398,2460.0,1691.0,1684.0,720.0,2.0,6.0
1412770,69.69574036511156,2465.0,1718.0,1710.0,670.0,1.0,9.0
1412771,70.16899338721528,2722.0,1910.0,1903.0,698.0,1.0,6.0
1412780,78.71853546910755,437.0,344.0,340.0,59.0,4.0,0.0
1412826,78.32040164308535,2191.0,1716.0,1708.0,353.0,2.0,5.0
1434612,37.03703703703704,81.0,30.0,25.0,60.0,0.0,5.0
1412875,76.22890682318415,2726.0,2078.0,2068.0,540.0,0.0,9.0
1412881,69.89538938395971,2581.0,1804.0,1788.0,686.0,1.0,15.0
1412894,73.61601884570082,2547.0,1875.0,1869.0,506.0,3.0,3.0
1412895,70.25171624713958,2622.0,1842.0,1839.0,699.0,0.0,3.0
1412896,78.71349978840458,2363.0,1860.0,1844.0,467.0,6.0,8.0
1412899,78.32512315270937,2842.0,2226.0,2217.0,493.0,0.0,8.0
1412914,51.56363636363637,1375.0,709.0,710.0,607.0,0.0,0.0
1412926,66.14821591948765,1093.0,723.0,722.0,800.0,0.0,1.0
1412930,72.0709309689677,1579.0,1138.0,1128.0,372.0,5.0,4.0
1412931,70.54205607476635,2675.0,1887.0,1881.0,661.0,0.0,5.0
1412934,57.148578293952745,2497.0,1427.0,1417.0,1010.0,0.0,10.0
1412940,73.19957004657829,2791.0,2043.0,2033.0,518.0,0.0,10.0
1412942,70.87753134040501,1037.0,735.0,729.0,253.0,3.0,2.0
1412983,71.239092495637,2865.0,2041.0,2030.0,738.0,2.0,8.0
1412984,73.46428571428572,2800.0,2057.0,2057.0,635.0,0.0,0.0
1412999,68.9010989010989,2730.0,1881.0,1876.0,639.0,0.0,5.0
1413008,61.412151067323485,1827.0,1122.0,1117.0,608.0,2.0,3.0
