URL_ID,Turnout_Percentage,liczba_uprawnionych,liczba_kart_wydanych_lacznie,liczba_glosow_waznych_na_kandydatow,liczba_kart_niewykorzystanych,liczba_kart_niewaznych,liczba_glosow_niewaznych,AE_Reconstruction_Error
1434227,22.22222222222222,108.0,24.0,23.0,103.0,0.0,1.0,0.4685178380334891
1405800,67.2328086164043,2414.0,1623.0,1609.0,715.0,2.0,12.0,0.6346917344248529
1434229,75.32894736842105,912.0,687.0,671.0,353.0,0.0,16.0,3.764363500214895
1434230,9.230769230769232,65.0,6.0,6.0,44.0,0.0,0.0,1.061061719344156
1434232,100.0,12.0,12.0,12.0,7.0,0.0,0.0,0.46938687366204973
1405816,77.80203784570597,2748.0,2138.0,2133.0,410.0,0.0,5.0,0.49721825431379585
1405817,81.21546961325967,1991.0,1617.0,1616.0,292.0,0.0,1.0,0.5706566674908506
1405818,75.87780898876404,2848.0,2161.0,2148.0,404.0,2.0,11.0,0.6629108823847359
1405821,82.24053952791309,2669.0,2195.0,2188.0,213.0,0.0,7.0,0.7211606308469415
1436608,100.0,14.0,14.0,14.0,15.0,0.0,0.0,0.4846992655224534
1405851,71.14577084583084,1667.0,1186.0,1175.0,414.0,0.0,11.0,0.8431618843475973
1405866,81.18925100057176,1749.0,1420.0,1411.0,219.0,0.0,9.0,0.5013868309050847
1405880,62.66924564796905,517.0,324.0,318.0,157.0,0.0,6.0,0.45968611554316124
1405905,68.16901408450704,1775.0,1210.0,1200.0,494.0,0.0,10.0,0.5081500371082734
1405923,74.14733969986358,1466.0,1087.0,1076.0,279.0,0.0,11.0,1.0792040058298384
1405937,81.12745098039215,1632.0,1324.0,1315.0,121.0,0.0,9.0,0.6819565751348373
1434240,52.72727272727272,55.0,29.0,20.0,30.0,0.0,8.0,1.4067697232392604
1406045,49.75369458128079,609.0,303.0,295.0,296.0,0.0,8.0,0.82108576750359
1406049,60.75388026607539,902.0,548.0,539.0,365.0,0.0,9.0,0.8522823852138711
1434249,31.428571428571427,35.0,11.0,9.0,30.0,0.0,2.0,0.4437503973479354
1406161,59.280575539568346,695.0,412.0,405.0,274.0,0.0,7.0,0.5281071071093637
1406163,63.79746835443038,1580.0,1008.0,999.0,528.0,0.0,11.0,0.8660596138018144
1406173,71.03413654618474,1992.0,1415.0,1413.0,554.0,0.0,1.0,0.5325374353589754
1406186,64.81605351170569,1495.0,969.0,969.0,499.0,0.0,0.0,0.44984838436145297
1434254,75.0,252.0,189.0,183.0,89.0,0.0,6.0,0.6525805307835567
