Candidate,Mean_Votes,Median_Votes,Mode_Votes,Std_Dev_Votes,Variance_Votes,Min_Votes,Max_Votes,Count_Polling_Stations
NAWROCKI Karol Tadeusz,328.3744465528147,306.0,177,200.66708766166937,40267.2800706161,0,1572,31620
TRZASKOWSKI Rafa Kazimierz,311.55423782416193,209.0,42,304.37678560583606,92645.2276157411,0,3126,31620
